Číslo;Název;Pořadové číslo;Příjmení, jméno;Tituly;Věk;Navrhující strana;Politická příslušnost;Hlasy abs.;Hlasy v %;Pořadí zvolení/náhradníka;Mandát;Rok
10;Strana za životní jistoty a NK;42;Adámek Jiří;;49;NK;BEZPP;252;1.56;0;False;2002
10;Strana za životní jistoty a NK;35;Anděrová Ivana;;34;NK;BEZPP;297;1.83;0;False;2002
5;Sdružení nezávislých;36;Bachcevanidis Tanasis;;48;SNK ED;BEZPP;2477;1.91;31;False;2002
3;Liga pro město;5;Bartoš Michael;Ing. CSc.;48;VPM;BEZPP;2143;3.74;0;False;2002
3;Liga pro město;19;Bašta Stanislav;;59;ČSNS;ČSNS;1186;2.07;0;False;2002
5;Sdružení nezávislých;25;Baťková Zdenka;;70;SNK ED;BEZPP;2556;1.97;20;False;2002
1;Unie svobody-Demokratická unie;23;Baumruck Zdeněk;;81;US-DEU;US-DEU;1161;1.96;21;False;2002
3;Liga pro město;40;Bazal Rudolf;;40;SOS;BEZPP;989;1.72;0;False;2002
3;Liga pro město;6;Bazalová Eva;;39;SOS;SOS;1387;2.42;0;False;2002
9;Komunistická str.Čech a Moravy;44;Beneda Václav;;73;KSČM;KSČM;3604;2.01;37;False;2002
2;Občanská demokratická strana;10;Beneš Miroslav;Ing.;46;ODS;ODS;9592;2.36;11;True;2002
10;Strana za životní jistoty a NK;6;Ber František;Mgr.;59;NK;BEZPP;461;2.85;0;False;2002
1;Unie svobody-Demokratická unie;29;Beránková Alena;;66;US-DEU;US-DEU;1081;1.83;27;False;2002
2;Občanská demokratická strana;40;Beránková Daniela;;56;ODS;ODS;8457;2.08;22;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;4;Bezecný Zdeněk;Mgr.;30;KDU-ČSL;KDU-ČSL;3826;2.74;3;True;2002
2;Občanská demokratická strana;36;Bína Miroslav;;25;ODS;ODS;8768;2.16;18;False;2002
8;Křesť.demokr.unie-Čs.str.lid.;28;Blaško Jiří;;42;KDU-ČSL;BEZPP;2912;2.08;22;False;2002
10;Strana za životní jistoty a NK;40;Blažek Karel;;58;NK;BEZPP;260;1.61;0;False;2002
4;Česká str.sociálně demokrat.;1;Bohdalová Vlasta;Mgr.;45;ČSSD;ČSSD;5248;3.02;1;True;2002
